,Produto,Categoria,Valor,Descricao,Marca,Termo
1173,Shortkut enterprises Model no 497 Mobile/Tablet Speaker,Mobiles & Accessories,"R$:1200,00",Key Features of Shortkut enterprises Model no 497 Mobile/Tablet Speaker Type - Mobile/Tablet Speaker Configuration - Single Unit Channel Power Output - 3W Frequency Response - 20-20000Hz;Specifications of Shortkut enterprises Model no 497 Mobile/Tablet Speaker (Green; Single Unit Channel Channel) In The Box Sales Package 1 Speaker 1 usb cable General Brand Shortkut enterprises Type Mobile/Tablet Speaker Configuration Single Unit Channel Channel Model ID Model no 497 Color Green Power Power Output 3W Power Source Rechargeable Battery Audio Features Impedance 4 ohms Total Power Output RMS (W) 3W Frequency Response 20-20000Hz Connectivity Memory Card Slot No,Shortkut enterprises,Mobiles & Accessories: Celulares e acessórios
1174,Shortkut enterprises Model no 460 Mobile/Tablet Speaker,Mobiles & Accessories,"R$:1200,00",Key Features of Shortkut enterprises Model no 460 Mobile/Tablet Speaker Type - Mobile/Tablet Speaker Configuration - Single Unit Channel Power Output - 3W Frequency Response - 20-20000Hz;Specifications of Shortkut enterprises Model no 460 Mobile/Tablet Speaker (Black; Single Unit Channel Channel) In The Box Sales Package 1 Speaker 1 usb cable General Brand Shortkut enterprises Type Mobile/Tablet Speaker Configuration Single Unit Channel Channel Model ID Model no 460 Color Black Power Power Output 3W Power Source Rechargeable Battery Audio Features Impedance 4 ohms Total Power Output RMS (W) 3W Frequency Response 20-20000Hz Connectivity Memory Card Slot No,Shortkut enterprises,Mobiles & Accessories: Celulares e acessórios
1175,Aroma Care Intense Color Nail Polish Combo 175027 49.5 ml,Beauty and Personal Care,"R$:600,00",Key Features of Aroma Care Intense Color Nail Polish Combo 175027 49.5 ml Made In India Good For Nails Fast Dry New 60 Colours;Aroma Care Intense Color Nail Polish Combo 175027 49.5 ml (Multicolor;) Price: Rs. 199 First apply a Aroma Care clear base coat to help your nail color last longer. With one sweep; paint the first line of nail polish starting from the base to the tip. Then apply color to the rest of the nail.;Specifications of Aroma Care Intense Color Nail Polish Combo 175027 49.5 ml (Multicolor;) Nail Polish Traits Quantity 49.5 ml Shade Multicolor; Organic Yes Warranty After Use No Exchange No Return Additional Traits No Exchange. No Return. No Warranty. Color Fidelity:The colors displayed here are indicative and may not be precise representations of actual shades due to variance in monitor calibrations and resolution as well as screen settings. In the Box 5 Nail Polishs,Aroma Care,Beauty and Personal Care: Beleza e Cuidados Pessoais
1176,Shortkut enterprises Model no 434 Mobile/Tablet Speaker,Mobiles & Accessories,"R$:1200,00",Key Features of Shortkut enterprises Model no 434 Mobile/Tablet Speaker Type - Mobile/Tablet Speaker Configuration - Single Unit Channel Power Output - 3W Frequency Response - 20-20000Hz;Specifications of Shortkut enterprises Model no 434 Mobile/Tablet Speaker (Pink; Single Unit Channel Channel) In The Box Sales Package 1 Speaker 1 usb cable General Brand Shortkut enterprises Type Mobile/Tablet Speaker Configuration Single Unit Channel Channel Model ID Model no 434 Color Pink Power Power Output 3W Power Source Rechargeable Battery Audio Features Impedance 4 ohms Total Power Output RMS (W) 3W Frequency Response 20-20000Hz Connectivity Memory Card Slot No,Shortkut enterprises,Mobiles & Accessories: Celulares e acessórios
1177,Aroma Care Intense Color Nail Polish Combo 175007 49.5 ml,Beauty and Personal Care,"R$:600,00",Key Features of Aroma Care Intense Color Nail Polish Combo 175007 49.5 ml Made In India Good For Nails Fast Dry New 60 Colours;Aroma Care Intense Color Nail Polish Combo 175007 49.5 ml (Multicolor;) Price: Rs. 199 First apply a Aroma Care clear base coat to help your nail color last longer. With one sweep; paint the first line of nail polish starting from the base to the tip. Then apply color to the rest of the nail.;Specifications of Aroma Care Intense Color Nail Polish Combo 175007 49.5 ml (Multicolor;) Nail Polish Traits Quantity 49.5 ml Shade Multicolor; Organic Yes Warranty After Use No Exchange No Return Additional Traits No Exchange. No Return. No Warranty. Color Fidelity:The colors displayed here are indicative and may not be precise representations of actual shades due to variance in monitor calibrations and resolution as well as screen settings. In the Box 5 Nail Polishs,Aroma Care,Beauty and Personal Care: Beleza e Cuidados Pessoais
1178,STREET LONDON Lace Up,Footwear,"R$:1299,00",Specifications of STREET LONDON Lace Up General Ideal For Men Occasion Casual Shoe Details Heel Height 0 inch Outer Material Canvas Color Red,STREET LONDON,Footwear: Calçados
1179,Ennoble Slim Fit Men's Grey Trousers,Clothing,"R$:1199,00",Specifications of Ennoble Slim Fit Men's Grey Trousers General Details Occasion Casual Ideal For Men's Color Grey Trouser Details Number of Contents in Sales Package Pack of 1 Fabric Cotton Type Chinos Fit Slim Fit In the Box 1 Trouser Additional Details Style Code ENCH1027 Fabric Care Hand Wash,Ennoble,Clothing: Confecções
1180,Leebo LED Headlight For Bajaj Pulsar 150,Automotive,"R$:3000,00",Key Features of Leebo LED Headlight For Bajaj Pulsar 150 6000k 4800 LM Best light for Bike Good heat dissipation;Leebo LED Headlight For Bajaj Pulsar 150 Price: Rs. 1;500 Super High Power CREE LED headlight for bikes. Features: Vacuum Red Copper thermal conduction tube inside; can transfer more heat; Red Copper heat dissipation belt to get heat dissipation better. CREE-XHP-50 LED chip; Antidust & Waterproof rating IP68; Best in class product with High/low beam. High intensity COB LED;DC12V-24V for most Motorcycle. 6000K xenon white and 4200LM super bright. Life span: +30000 hours; Easy to install; better heat disspation Compatible with bike; light range 200 Mtr. Headlight Voltage: DC12V/DC24V Lamp Type: LED Certification: RoHS CE Model Number: H4 Color: 6000K LED Power: 40W Lumen: 4800LM Material: RED copper+aviation aluminum LED Chip: CREE Waterproof rate: IP68 Waterproof Product name: Led Head Lamp Lifespan: 30000 Hours Usage: Car / Bike Head Light Make sure H4 bulb type is used in your vehical.;Specifications of Leebo LED Headlight For Bajaj Pulsar 150 General Brand Leebo Housing Color Black Beam Type High Beam; Low Beam Light Source LED Type Headlight Finish Aluminium Number of Bulbs 1 Installation Position Center Suitable For Bike With Bulb Yes Vehicle Model Name Pulsar 150 Model Number SUPER_LED10 Vehicle Brand Bajaj In the box 1 Head Light Unit Dimensions Weight 0.2 kg Width 50 mm Depth 50 mm Power Features Power Consumption 40 W Illumination Features Light Color White Additional Features Corrosion Resistant Yes Scratch Resistant Yes Certification CREE,Leebo,Automotive: Automotivo
1181,Leebo LED Headlight For Honda CB,Automotive,"R$:3000,00",Key Features of Leebo LED Headlight For Honda CB 6000k 4800 LM Best light for Bike Good heat dissipation;Leebo LED Headlight For Honda CB Price: Rs. 1;500 Super High Power CREE LED headlight for bikes. Features: Vacuum Red Copper thermal conduction tube inside; can transfer more heat; Red Copper heat dissipation belt to get heat dissipation better. CREE-XHP-50 LED chip; Antidust & Waterproof rating IP68; Best in class product with High/low beam. High intensity COB LED;DC12V-24V for most Motorcycle. 6000K xenon white and 4200LM super bright. Life span: +30000 hours; Easy to install; better heat disspation Compatible with bike; light range 200 Mtr. Headlight Voltage: DC12V/DC24V Lamp Type: LED Certification: RoHS CE Model Number: H4 Color: 6000K LED Power: 40W Lumen: 4800LM Material: RED copper+aviation aluminum LED Chip: CREE Waterproof rate: IP68 Waterproof Product name: Led Head Lamp Lifespan: 30000 Hours Usage: Car / Bike Head Light Make sure H4 bulb type is used in your vehical.;Specifications of Leebo LED Headlight For Honda CB General Brand Leebo Housing Color Black Beam Type High Beam; Low Beam Light Source LED Type Headlight Finish Aluminium Number of Bulbs 1 Installation Position Center Suitable For Bike With Bulb Yes Vehicle Model Name CB Model Number SUPER_LED58 Vehicle Brand Honda In the box 1 Head Light Unit Dimensions Weight 0.2 kg Width 50 mm Depth 50 mm Power Features Power Consumption 40 W Illumination Features Light Color White Additional Features Corrosion Resistant Yes Scratch Resistant Yes Certification CREE,Leebo,Automotive: Automotivo
1182,KOHL Wine Bag Yellow,Baby Care,"R$:213,00",Key Features of KOHL Wine Bag Yellow Easy to carry GiftBags JuteBags Bits&Bobs;Specifications of KOHL Wine Bag Yellow (Yellow) General Brand KOHL Insulated No Type Bottle Cover Series Wine Bags Material Jute Washable Yes Model Name Wine Bag Yellow Ideal For Boys; Girls Model ID 3 Color Yellow Size Large In the Box Number of Contents in Sales Package 1 Sales Package Bottle Cover Additional Features Easy to carry; GiftBags; JuteBags; Bits&Bobs,KOHL,Baby Care: Cuidados com o bebê
1183,Inc.5 Women Wedges,Footwear,"R$:1790,00",Key Features of Inc.5 Women Wedges Occasion: Casual Material: Patent Leather Color: Black Heel Height: 2;Specifications of Inc.5 Women Wedges General Occasion Casual Ideal For Women Sandal Details Closure Slip on Sole Material EVA Weight 500 g (per single Sandal) - Weight of the product may vary depending on size. Type Wedges Heel Height 2 inch Outer Material Patent Leather Color BLACK,Inc.5,Footwear: Calçados
1184,Leebo LED Headlight For Suzuki Sling,Automotive,"R$:3000,00",Key Features of Leebo LED Headlight For Suzuki Sling 6000k 4800 LM Best light for Bike Good heat dissipation;Leebo LED Headlight For Suzuki Sling Price: Rs. 1;500 Super High Power CREE LED headlight for bikes. Features: Vacuum Red Copper thermal conduction tube inside; can transfer more heat; Red Copper heat dissipation belt to get heat dissipation better. CREE-XHP-50 LED chip; Antidust & Waterproof rating IP68; Best in class product with High/low beam. High intensity COB LED;DC12V-24V for most Motorcycle. 6000K xenon white and 4200LM super bright. Life span: +30000 hours; Easy to install; better heat disspation Compatible with bike; light range 200 Mtr. Headlight Voltage: DC12V/DC24V Lamp Type: LED Certification: RoHS CE Model Number: H4 Color: 6000K LED Power: 40W Lumen: 4800LM Material: RED copper+aviation aluminum LED Chip: CREE Waterproof rate: IP68 Waterproof Product name: Led Head Lamp Lifespan: 30000 Hours Usage: Car / Bike Head Light Make sure H4 bulb type is used in your vehical.;Specifications of Leebo LED Headlight For Suzuki Sling General Brand Leebo Housing Color Black Beam Type High Beam; Low Beam Light Source LED Type Headlight Finish Aluminium Number of Bulbs 1 Installation Position Center Suitable For Bike With Bulb Yes Vehicle Model Name Sling Model Number SUPER_LED38 Vehicle Brand Suzuki In the box 1 Head Light Unit Dimensions Weight 0.2 kg Width 50 mm Depth 50 mm Power Features Power Consumption 40 W Illumination Features Light Color White Additional Features Corrosion Resistant Yes Scratch Resistant Yes Certification CREE,Leebo,Automotive: Automotivo
1185,Inc.5 Women Wedges,Footwear,"R$:1690,00",Key Features of Inc.5 Women Wedges Occasion: Formal Material: Fabric Color: Brown Heel Height: 3;Specifications of Inc.5 Women Wedges General Occasion Formal Ideal For Women Sandal Details Closure SLIP ON Sole Material PU Weight 500 g (per single Sandal) - Weight of the product may vary depending on size. Type Wedges Heel Height 3 inch Outer Material Fabric Color BRONZE,Inc.5,Footwear: Calçados
1186,BOLLYWOOD ACCESSORY Woven Viscose Women's Scarf,Clothing,"R$:239,00",Key Features of BOLLYWOOD ACCESSORY Woven Viscose Women's Scarf Fabric: Viscose Brand Color: Red;BOLLYWOOD ACCESSORY Woven Viscose Women's Scarf Price: Rs. 239 Viscose double design eternity scarf;Specifications of BOLLYWOOD ACCESSORY Woven Viscose Women's Scarf General Details Pattern Woven Ideal For Women's Occasion Casual Scarf Details Fabric Viscose Type Scarf Additional Details Other Details Stylish trendy double design eternity scarf for day & evening wear Style Code BA1269 In the Box 1 Scarf,BOLLYWOOD ACCESSORY,Clothing: Confecções
1187,Shopmania Happy Birthday Gift For Starting Letter Q Ceramic Mug,Kitchen & Dining,"R$:449,00",Specifications of Shopmania Happy Birthday Gift For Starting Letter Q Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe Yes Dimensions Diameter 80 mm Weight 400 g Height 95 mm Width 120 mm Depth 80 mm In the Box Sales Package 1 Mug,Shopmania,Kitchen & Dining: Cozinha e jantar
1188,Shopmania Happy Birthday Gift For Starting Letter G Ceramic Mug,Kitchen & Dining,"R$:449,00",Key Features of Shopmania Happy Birthday Gift For Starting Letter G Ceramic Mug Pack of 1 Mug;Specifications of Shopmania Happy Birthday Gift For Starting Letter G Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe Yes Dimensions Diameter 80 mm Weight 400 g Height 95 mm Width 120 mm Depth 80 mm In the Box Sales Package 1 Mug,Shopmania,Kitchen & Dining: Cozinha e jantar
1189,CHHOTE JANAB COZY MATTRESS PROTECTOR(SET OF 2),Baby Care,"R$:399,00",Specifications of CHHOTE JANAB COZY MATTRESS PROTECTOR(SET OF 2) (MULTI) Baby Mattress Features Material COTTON General Brand CHHOTE JANAB Type WATERPROOF Model Name COZY MATTRESS PROTECTOR(SET OF 2) Pattern PLAIN Model ID ED104 Color MULTI Additional Features SOFT AND COMFORTABLE; WATERPROOF; SET OF 2; COLOUR MAY BE VARY. In the Box Sales Package 2 MATTRESS,CHHOTE JANAB,Baby Care: Cuidados com o bebê
1190,Shopmania Happy Birthday Gift For Starting Letter B Ceramic Mug,Kitchen & Dining,"R$:449,00",Key Features of Shopmania Happy Birthday Gift For Starting Letter B Ceramic Mug Pack of 1 Mug;Specifications of Shopmania Happy Birthday Gift For Starting Letter B Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe Yes Dimensions Diameter 80 mm Weight 400 g Height 95 mm Width 120 mm Depth 80 mm In the Box Sales Package 1 Mug,Shopmania,Kitchen & Dining: Cozinha e jantar
1191,ANAND ARCHIES Girls Flats,ANAND ARCHIES Girls Flats,"R$:499,00",Specifications of ANAND ARCHIES Girls Flats General Ideal For Girls Occasion Casual Sandal Details Sole Material PU Type Flats Heel Height 1 inch Outer Material Artificial Leather Color PINK In the Box 2 Sandals,ANAND ARCHIES,ANAND ARCHIES Girls Flats: Apartamentos para meninas ANAND ARCHIES
1192,ANAND ARCHIES Girls Wedges,ANAND ARCHIES Girls Wedges,"R$:899,00",Specifications of ANAND ARCHIES Girls Wedges General Ideal For Girls Occasion Casual Sandal Details Sole Material PU Type Wedges Heel Height 2 inch Outer Material Artificial Leather Color GOLD In the Box 2 Wedges,ANAND ARCHIES,ANAND ARCHIES Girls Wedges: Cunhas para meninas ANAND ARCHIES
1193,Bharatcraft Lord Ganesha with Diya on Leaf Showpiece  -  10.16 cm,Home Decor & Festive Needs,"R$:1199,00",Key Features of Bharatcraft Lord Ganesha with Diya on Leaf Showpiece  -  10.16 cm Aluminium Height - 10.16 cm Width - 13.97 cm;Bharatcraft Lord Ganesha with Diya on Leaf Showpiece  -  10.16 cm (Aluminium; Silver) Price: Rs. 799 Specifications of Lord Ganesha with Diya on Leaf Showpiece;Specifications of Bharatcraft Lord Ganesha with Diya on Leaf Showpiece  -  10.16 cm (Aluminium; Silver) General Brand Bharatcraft Model Number H10101 Type Religious Idols Model Name Lord Ganesha with Diya on Leaf Material Aluminium Color Silver Dimensions Height 10.16 cm Width 13.97 cm Depth 5.5 cm In the Box Sales Package 1 showpiece figurine Pack of 1,Bharatcraft,Home Decor & Festive Needs: Decoração e Necessidades Festivas
1194,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2499,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) Price: Rs. 799 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 3 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO3_RED_YLO_GRY In the Box 3 T Shirt,Candy House,Clothing: Confecções
1195,Victoria's Secret NEW! Noir Tease Gift Set,Beauty and Personal Care,"R$:7850,00",Victoria's Secret NEW! Noir Tease Gift Set (Set of) Price: Rs. 4;999 This award-winning fragrance is wrapped and ready; with four luxe essentials in a glam gift box. Fragrance type: Warm Notes: Black vanilla; frozen pear and blooming gardenia;Specifications of Victoria's Secret NEW! Noir Tease Gift Set (Set of) Combo Set Details Combo Set Contents 1 Mini Eau de Parfum: 7.5 ml/.25 fl. oz.; 1 Eau de Parfum: 50 ml/1.7 fl. oz.; 1 Fragrance Lotion: 100 ml/3.4 fl. oz.; 1 Fragrance Wash: 100 ml/3.4 fl. oz. Organic Yes Ideal For Women,Victoria's Secret,Beauty and Personal Care: Beleza e Cuidados Pessoais
1196,addee Leather black 16 L Backpack,Toys & School Supplies,"R$:2999,00",Key Features of addee Leather black 16 L Backpack Ideal For: Boys; Girls No of Compartments: 2 Laptop Sleeve: No;Specifications of addee Leather black 16 L Backpack (Black) General Trolley Support No Type Backpack Laptop Sleeve No Style Code LEABLACK Compatible Laptop Size 15.6 Capacity 16 L Ideal For Boys; Girls Color Code Black Body Features Number of Compartments 2,addee,Toys & School Supplies: Brinquedos e material escolar
1197,VIVIANA Nail Paint; Lipstick,Beauty and Personal Care,"R$:697,00",VIVIANA Nail Paint; Lipstick (Set of 5) Price: Rs. 499 Viviana PRIDE Nail Lacquer: A perfect Gliding Application for a professional fashion-show finish! A product characterised by QUICK DRYING formulation sourced from France exclusively. Viviana nail lacquer provides a Long Lasting Extra Gloss finish. The special formulae; ensures a perfect adherence along with Constant Viscosity and an Incredible Smoothness Key Features: 1. Tolune & D.B.P. Free. 2. Longer Shelf Life. 3. Color Fast. 4. Easier Application Long Wears Higher Gloss. 5. Significant Ressitant To Water. 6. More Constant Viscosity Viviana Lipsticks: Glides easily; long lasting; contains Vitamin E; 100% Vegetarian; No Animal Fat;Specifications of VIVIANA Nail Paint; Lipstick (Set of 5) Combo Set Details Number of Contents in Combo Set 5 Combo Set Contents 3 Nail Paints; 2 Lipsticks Ideal For Women Organic No,VIVIANA,Beauty and Personal Care: Beleza e Cuidados Pessoais
1198,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_RBLU_RED_ORG In the Box 4 T Shirt,Candy House,Clothing: Confecções
1199,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4RN_WHT_GRN_GRY In the Box 4 T Shirt,Candy House,Clothing: Confecções
1200,Prime Printed 4 Seater Table Cover,Home Furnishing,"R$:1000,00",Key Features of Prime Printed 4 Seater Table Cover Length 60 inch/152 cm Width 40 inch/101 cm;Prime Printed 4 Seater Table Cover (Multicolor; PVC) Price: Rs. 499 Prime Center Table Cover Printed 4 Seater;Specifications of Prime Printed 4 Seater Table Cover (Multicolor; PVC) In The Box Number of Contents in Sales Package Pack of 1 General Brand Prime Type Table Cover Model Name 0.281 Material PVC Model ID 281 Color Multicolor Dimensions Weight 250 g Length 60 inch / 152 cm Width 40 inch / 101 cm Seating Capacity 4 Seater,Prime,Home Furnishing: Mobiliário doméstico
1201,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_RBLU_WHT_GRY_PNK In the Box 4 T Shirt,Candy House,Clothing: Confecções
1202,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_RBLU_YLO_PNK In the Box 4 T Shirt,Candy House,Clothing: Confecções
1203,Jutecentral CA16YBSMR0601 Yoga Mat Bag,Sports & Fitness,"R$:900,00",Specifications of Jutecentral CA16YBSMR0601 Yoga Mat Bag (Maroon; Kit Bag) General Wash Care Do Not Wash; Can Be Cleaned With A Wet Cotton Cloth Type Yoga Mat Bag Material Canvas Ideal For Men; Women Bag Capacity 8 L Size M Design Zipped Dimensions Weight 300 g Height 68 cm Width 16 cm Depth 24 cm In the Box Sales Package Juco Yogamat Bag Body Features Hip Strap No Pocket Compartments 1 Pocket Compartment; One Main Cylindrical Compartment With Durable Canvas exteriors For Holding your yogamat Closure Type Zipper Handle Features Strap Handle Handle; Nylon shoulder strap Shoulder Strap Yes; Fabric Shoulder Strap Other Body Features Zip till the base for ease in moving the yogamat in and out In-built Wheels No,Jutecentral,Sports & Fitness: Esportes e fitness
1204,Prime Printed 8 Seater Table Cover,Prime Printed 8 Seater Table Cover (Multicolor,"R$:2000,00",Key Features of Prime Printed 8 Seater Table Cover Length 90 inch/228 cm Width 60 inch/152 cm;Prime Printed 8 Seater Table Cover (Multicolor; PVC) Price: Rs. 799 Prime Dining Table Cover Printed 8 Seater;Specifications of Prime Printed 8 Seater Table Cover (Multicolor; PVC) In The Box Number of Contents in Sales Package Pack of 1 General Brand Prime Type Table Cover Model Name 0.296 Material PVC Model ID 296 Color Multicolor Dimensions Weight 550 g Length 90 inch / 228 cm Width 60 inch / 152 cm Seating Capacity 8 Seater,Prime,Prime Printed 8 Seater Table Cover (Multicolor: Cobertura de mesa de 8 lugares impressa Prime (multicolorida
1205,SKI LOCK SEAL GIFT SET 550 YELLOW02 2 Containers Lunch Box,Kitchen & Dining,"R$:299,00",Key Features of SKI LOCK SEAL GIFT SET 550 YELLOW02 2 Containers Lunch Box Color: multicolor Lunch Box Material: Plastic Ideal Usage: School;Specifications of SKI LOCK SEAL GIFT SET 550 YELLOW02 2 Containers Lunch Box (550 ml) General Series LOW Model Name LOCK SEAL GIFT SET 550 YELLOW02 Lunch Box Features Lunch Box Material Plastic Number of Containers 2 Lunch Box Capacity 550 ml In the Box 1LUNCH BOS 550ML; 1 WATER BOTTLE,SKI,Kitchen & Dining: Cozinha e jantar
1206,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_RBLURN_GRY_ORG In the Box 4 T Shirt,Candy House,Clothing: Confecções
1207,Imported Disposable Waxing Strips With Spatula Knife,Beauty and Personal Care,"R$:599,00",Key Features of Imported Disposable Waxing Strips With Spatula Knife Imported Disposable Waxing Strips with Spatula Knife Disposable Waxing Strips Spatula Knife For Waxing;Imported Disposable Waxing Strips With Spatula Knife (Set of) Price: Rs. 499 Imported Disposable Waxing Strips;Specifications of Imported Disposable Waxing Strips With Spatula Knife (Set of) Combo Set Details Ideal For Women Combo Set Contents Imported Disposable Strips; 1 pcs Spatula knife Organic Yes,Imported,Beauty and Personal Care: Beleza e Cuidados Pessoais
1208,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_RED_GRY_ORG In the Box 4 T Shirt,Candy House,Clothing: Confecções
